job,position,machine,duration,start_time,end_time
1,0,3,2,0,2
1,1,1,1,3,4
1,2,3,1,5,6
1,3,2,2,7,9
1,4,3,2,9,11
2,0,2,2,4,6
2,1,2,1,6,7
2,2,1,2,7,9
3,0,1,2,0,2
3,1,3,2,2,4
3,2,1,2,9,11
4,0,2,2,0,2
4,1,1,1,2,3
4,2,1,2,4,6
4,3,3,2,7,9
4,4,1,1,11,12
