job,position,machine,duration,start_time,end_time
1,0,3,2,1,3
1,1,1,1,3,4
1,2,2,1,5,6
1,3,1,2,12,14
1,4,3,2,14,16
2,1,1,1,8,9
3,1,3,2,5,7
4,0,2,2,1,3
4,1,1,1,5,6
4,4,1,1,11,12
