job,position,machine,duration,start_time,end_time
1,0,3,2,1,3
1,1,2,1,4,5
1,2,2,2,5,7
1,3,3,1,7,8
2,0,3,1,0,1
2,1,3,1,4,5
2,2,3,2,5,7
2,3,3,2,8,10
3,0,1,2,0,2
3,1,2,2,2,4
3,2,2,1,7,8
3,3,1,2,8,10
