job,position,machine,duration,start_time,end_time
1,0,3,2,0,2
1,1,2,1,2,3
1,2,1,2,3,5
1,3,3,1,6,7
2,0,3,1,2,3
2,1,2,1,3,4
2,2,3,2,4,6
2,3,1,2,6,8
3,0,1,2,0,2
3,1,2,2,5,7
3,2,2,1,7,8
3,3,1,2,8,10
