Amostrador,Número de trabalhos,Número de máquinas distintas utilizadas,Número de equipamentos distintos utilizados,Número de operações,Timespan,Número de variáveis,Número de interações,Menor energia,Maior energia,Energia média,Desvio padrão de energia,Mediana de energia,Tempo de amostragem,Percentual de soluções válidas,Percentual médio de chainbreaks entre as amostras,Percentual de amostras com alta quantidade de chain breaks (>15%)
DwaveSampler,3,3,2,12,12,150,2364,150999168.0,1962942532.0,692693397.448,246870589.78367388,679479328.0,27.90059757232666,0.0,7.812666666666666,0.0
LeapHybridSampler,3,3,2,12,12,150,2364,96.0,96.0,96.0,0.0,96.0,7.954237222671509,100.0,,
SimulatedAnnealing,3,3,2,12,12,150,2364,288.0,75502608.0,382666.392,5325030.562712609,5184.0,2.672598123550415,99.5,,
TabuSampler,3,3,2,12,12,150,2364,24.0,324.0,122.692,50.60562356102333,96.0,21.006441116333008,100.0,,
SteepestDescentSampler,3,3,2,12,12,150,2364,96.0,226496576.0,45906847.524,46804086.60757104,75498752.0,0.01618671417236328,46.2,,
