job,position,machine,duration,start_time,end_time
1,0,3,2,3,5
1,1,2,2,6,8
1,2,2,2,8,10
1,3,2,1,10,11
1,4,2,2,11,13
2,0,2,1,0,1
2,1,3,2,1,3
3,0,2,2,3,5
3,1,2,1,5,6
3,2,1,2,7,9
3,3,1,1,9,10
4,0,1,2,3,5
4,1,1,2,5,7
4,2,3,1,8,9
4,3,3,2,9,11
