Amostrador,Energia,Percentual de chainbreaks
SimulatedAnnealing,159400.0,
SimulatedAnnealing,244300000.0,
SimulatedAnnealing,50787500.0,
SimulatedAnnealing,796880.0,
SimulatedAnnealing,50875000.0,
SimulatedAnnealing,244250000.0,
SimulatedAnnealing,2737500.0,
SimulatedAnnealing,2062500.0,
SimulatedAnnealing,2362500.0,
SimulatedAnnealing,2437500.0,
SimulatedAnnealing,51172000.0,
SimulatedAnnealing,410000.0,
SimulatedAnnealing,412500.0,
SimulatedAnnealing,3937500.0,
SimulatedAnnealing,51187500.0,
SimulatedAnnealing,244237500.0,
SimulatedAnnealing,244187500.0,
SimulatedAnnealing,3907000.0,
SimulatedAnnealing,2125000.0,
SimulatedAnnealing,244562500.0,
SimulatedAnnealing,50860000.0,
SimulatedAnnealing,2425000.0,
SimulatedAnnealing,244296900.0,
SimulatedAnnealing,4300000.0,
SimulatedAnnealing,244562500.0,
SimulatedAnnealing,2359500.0,
SimulatedAnnealing,2362500.0,
SimulatedAnnealing,244237500.0,
SimulatedAnnealing,244547500.0,
SimulatedAnnealing,50797500.0,
SimulatedAnnealing,2047500.0,
SimulatedAnnealing,244222000.0,
SimulatedAnnealing,110000.0,
SimulatedAnnealing,1187500.0,
SimulatedAnnealing,2062500.0,
SimulatedAnnealing,50000.0,
SimulatedAnnealing,48850000.0,
SimulatedAnnealing,50875000.0,
SimulatedAnnealing,50862500.0,
SimulatedAnnealing,412500.0,
SimulatedAnnealing,2360000.0,
SimulatedAnnealing,109500.0,
SimulatedAnnealing,2750000.0,
SimulatedAnnealing,1187500.0,
SimulatedAnnealing,48922000.0,
SimulatedAnnealing,484375.0,
SimulatedAnnealing,48844500.0,
SimulatedAnnealing,51175000.0,
SimulatedAnnealing,2375000.0,
SimulatedAnnealing,422500.0,
SimulatedAnnealing,1175000.0,
SimulatedAnnealing,2062500.0,
SimulatedAnnealing,244625000.0,
SimulatedAnnealing,409380.0,
SimulatedAnnealing,49222500.0,
SimulatedAnnealing,2047000.0,
SimulatedAnnealing,2422500.0,
SimulatedAnnealing,2425000.0,
SimulatedAnnealing,244250000.0,
SimulatedAnnealing,2375000.0,
SimulatedAnnealing,2737500.0,
SimulatedAnnealing,3925000.0,
SimulatedAnnealing,146486720000.0,
SimulatedAnnealing,50800000.0,
SimulatedAnnealing,797500.0,
SimulatedAnnealing,244235000.0,
SimulatedAnnealing,244175000.0,
SimulatedAnnealing,862500.0,
SimulatedAnnealing,244296900.0,
SimulatedAnnealing,3925000.0,
SimulatedAnnealing,2437500.0,
SimulatedAnnealing,875000.0,
SimulatedAnnealing,2437500.0,
SimulatedAnnealing,2360000.0,
SimulatedAnnealing,50787500.0,
SimulatedAnnealing,51172500.0,
SimulatedAnnealing,244222500.0,
SimulatedAnnealing,4312500.0,
SimulatedAnnealing,1187500.0,
SimulatedAnnealing,4297000.0,
SimulatedAnnealing,50812500.0,
SimulatedAnnealing,50787500.0,
SimulatedAnnealing,406880.0,
SimulatedAnnealing,2359500.0,
SimulatedAnnealing,2344500.0,
SimulatedAnnealing,244160000.0,
SimulatedAnnealing,244547500.0,
SimulatedAnnealing,50800000.0,
SimulatedAnnealing,244187500.0,
SimulatedAnnealing,244250000.0,
SimulatedAnnealing,11750000.0,
SimulatedAnnealing,412500.0,
SimulatedAnnealing,2437500.0,
SimulatedAnnealing,51175000.0,
SimulatedAnnealing,50784500.0,
SimulatedAnnealing,244300000.0,
SimulatedAnnealing,2437500.0,
SimulatedAnnealing,2359500.0,
SimulatedAnnealing,2437500.0,
SimulatedAnnealing,10157000.0,
SimulatedAnnealing,796875.0,
SimulatedAnnealing,146535171875.0,
SimulatedAnnealing,796880.0,
SimulatedAnnealing,244187500.0,
SimulatedAnnealing,812500.0,
SimulatedAnnealing,2360000.0,
SimulatedAnnealing,50875000.0,
SimulatedAnnealing,1187500.0,
SimulatedAnnealing,244162500.0,
SimulatedAnnealing,2359400.0,
SimulatedAnnealing,2046880.0,
SimulatedAnnealing,100000.0,
SimulatedAnnealing,2437500.0,
SimulatedAnnealing,2125000.0,
SimulatedAnnealing,796875.0,
SimulatedAnnealing,2046875.0,
SimulatedAnnealing,2375000.0,
SimulatedAnnealing,2735000.0,
SimulatedAnnealing,50812500.0,
SimulatedAnnealing,244156500.0,
SimulatedAnnealing,437500.0,
SimulatedAnnealing,50000.0,
SimulatedAnnealing,475000.0,
SimulatedAnnealing,244547500.0,
SimulatedAnnealing,244610000.0,
SimulatedAnnealing,175000.0,
SimulatedAnnealing,407500.0,
