job,position,machine,duration,start_time,end_time
1,0,3,2,3,5
1,1,1,2,5,7
1,2,2,2,8,10
1,3,2,1,11,12
1,4,3,2,12,14
2,0,3,1,0,1
2,1,3,2,1,3
3,0,2,2,2,4
3,1,3,1,5,6
3,2,1,2,9,11
3,3,2,1,12,13
4,0,1,2,3,5
4,1,2,2,5,7
4,2,3,1,9,10
4,3,3,2,10,12
