job,position,machine,duration,start_time,end_time
1,0,3,2,2,4
1,1,1,2,6,8
1,2,1,2,10,12
1,3,2,1,12,13
1,4,3,2,13,15
2,0,1,1,0,1
2,1,3,2,4,6
3,0,2,2,2,4
3,1,2,1,7,8
3,2,1,2,8,10
3,3,2,1,10,11
4,0,1,2,2,4
4,1,2,2,5,7
4,2,3,1,8,9
4,3,3,2,9,11
