job,position,machine,duration,start_time,end_time
1,0,2,2,3,5
1,1,2,2,5,7
1,2,2,1,7,8
2,0,1,1,0,1
2,1,2,1,1,2
2,2,1,1,3,4
3,0,1,1,7,8
